business_name,business_id,business_address
Accra Restaurant No 3 Corp,4wyPdXX96e0akxvCp268iw,"2065  Adam Clayton Powell Jr Blvd , Manhattan, NY"
Ceci Restaurant Inc.,NL5hTOe-KoVlALcWLrwb1A,"78 Sherman Avenue, Manhattan, NY"
EL GRAN CANARIO II RESTAURANT,cnXZiXFsk7lmlKD2JT3Pdg,"11117 JAMAICA AVE, Queens, NY"
El Cantinero,LyCE268_fz_MAZieFZY1lA,"86 University Place, Manhattan, NY"
Fonda of Chelsea,v8tuFxvNkKdZytWTn9BhMA,"189  9th avenue, Manhattan, NY"
IL MELOGRANO,0axnkZlDiQcJVc06DDXxGQ,"501 WEST 51ST , Manhattan, NY"
Illusions hookah,QA0FUxP1US5LIyf2tG5KUw,"3229 Westchester , Bronx, NY"
Lambda Lounge,ROW0PfyIBbuHWX1EtIh-Lg,"2256  Adam Clayton Powell Jr. Blvd, Manhattan, NY"
Las' Lap,0qLiJ70Iciz3K9JVmwY2tg,"74 Orchard St, Manhattan, NY"
Mama Maria's Restaurant,cRUuiiEW7F0uqtgSG-sKCg,"307 Court Street, Brooklyn, NY"
Ootoya Japanese Restaurant,ULDVJYTT-47RqbLtlR_FUA,"41 E 11th Street, Manhattan, NY"
Petite Crevette,TCJrcryBkI6eg2HYThoiKg,"144 Union street, Brooklyn, NY"
Saigon Market LLC,tYRWu_EDQGsIyhSaaYi7VQ,"91 93 University Place, Manhattan, NY"
Tacos El Paisa,0IFd_nGY2l_Miai4n7ifTA,"1548  St. Nicholas btw West 187th street and west 188th street , Manhattan, NY"
Tartina,UjzSeETESWzramhdOdWKKQ,"1034 Amsterdam Avenue, Manhattan, NY"
The Wheelhouse,oXnJEg_AScyrR1lO4dnAfw,"165 Wilson Avenue, Brooklyn, NY"
